season,tour_code,tournament_id,tournament_name,display_date,month,status,champion_name,champion_player_id,champion_earnings,purse,standings_heading,standings_value,course_name,course_city,course_state_code,course_country,use_tournament_site_url,tournament_site_url,leaderboard_path_guess
2025,R,R2025016,The Sentry,Jan 2 - 5,January,COMPLETED,Hideki Matsuyama,32839,"$3,600,000","$20,000,000",FEDEXCUP,700 pts,Plantation Course at Kapalua,"Kapalua, Maui",HI,United States of America,False,https://www.sentrytournamentofchampions.com/,/tournaments/2025/the-sentry/R2025016/leaderboard
2025,R,R2025006,Sony Open in Hawaii,Jan 9 - 12,January,COMPLETED,Nick Taylor,25493,"$1,566,000","$8,700,000",FEDEXCUP,500 pts,Waialae Country Club,Honolulu,HI,United States of America,False,https://www.sonyopeninhawaii.com,/tournaments/2025/sony-open-in-hawaii/R2025006/leaderboard
2025,R,R2025002,The American Express,Jan 16 - 19,January,COMPLETED,Sepp Straka,49960,"$1,584,000","$8,800,000",FEDEXCUP,500 pts,Pete Dye Stadium Course,La Quinta,CA,United States of America,False,https://www.theamexgolf.com,/tournaments/2025/the-american-express/R2025002/leaderboard
2025,R,R2025004,Farmers Insurance Open,Jan 22 - 25,January,COMPLETED,Harris English,34099,"$1,674,000","$9,300,000",FEDEXCUP,500 pts,Torrey Pines Golf Course (South Course),San Diego,CA,United States of America,False,https://www.farmersinsuranceopen.com,/tournaments/2025/farmers-insurance-open/R2025004/leaderboard
2025,R,R2025005,AT&T Pebble Beach Pro-Am,Jan 30 - Feb 2,January,COMPLETED,Rory McIlroy,28237,"$3,600,000","$20,000,000",FEDEXCUP,700 pts,Pebble Beach Golf Links,Pebble Beach,CA,United States of America,False,https://www.attpbgolf.com,/tournaments/2025/att-pebble-beach-pro-am/R2025005/leaderboard
2025,R,R2025003,WM Phoenix Open,Feb 6 - 9,February,COMPLETED,Thomas Detry,33653,"$1,656,000","$9,200,000",FEDEXCUP,500 pts,TPC Scottsdale (Stadium Course),Scottsdale,AZ,United States of America,False,https://wmphoenixopen.com,/tournaments/2025/wm-phoenix-open/R2025003/leaderboard
2025,R,R2025007,The Genesis Invitational,Feb 13 - 16,February,COMPLETED,Ludvig Åberg,52955,"$4,000,000","$20,000,000",FEDEXCUP,700 pts,Torrey Pines Golf Course (South Course),San Diego,CA,United States of America,False,https://genesisinvitational.com,/tournaments/2025/the-genesis-invitational/R2025007/leaderboard
2025,R,R2025540,Mexico Open at VidantaWorld,Feb 20 - 23,February,COMPLETED,Brian Campbell,46443,"$1,260,000","$7,000,000",FEDEXCUP,500 pts,Vidanta Vallarta,Vallarta,,Mexico,False,https://www.mexicoopen.mx/,/tournaments/2025/mexico-open-at-vidantaworld/R2025540/leaderboard
2025,R,R2025010,Cognizant Classic in The Palm Beaches,Feb 27 - Mar 2,February,COMPLETED,Joe Highsmith,60067,"$1,656,000","$9,200,000",FEDEXCUP,500 pts,PGA National Resort (The Champion Course),Palm Beach Gardens,FL,United States of America,False,https://thecognizantclassic.com/,/tournaments/2025/cognizant-classic-in-the-palm-beaches/R2025010/leaderboard
2025,R,R2025009,Arnold Palmer Invitational presented by Mastercard,Mar 6 - 9,March,COMPLETED,Russell Henley,34098,"$4,000,000","$20,000,000",FEDEXCUP,700 pts,Arnold Palmer's Bay Hill Club & Lodge,Orlando,FL,United States of America,False,https://arnoldpalmerinvitational.com,/tournaments/2025/arnold-palmer-invitational-presented-by-mastercard/R2025009/leaderboard
2025,R,R2025483,Puerto Rico Open,Mar 6 - 9,March,COMPLETED,Karl Vilips,54304,"$720,000","$4,000,000",FEDEXCUP,300 pts,Grand Reserve Golf Club,Rio Grande,,Puerto Rico,False,https://www.puertoricoopen.golf/index.php,/tournaments/2025/puerto-rico-open/R2025483/leaderboard
2025,R,R2025011,THE PLAYERS Championship,Mar 13 - 16,March,COMPLETED,Rory McIlroy,28237,"$4,500,000","$25,000,000",FEDEXCUP,750 pts,TPC Sawgrass (THE PLAYERS Stadium Course),Ponte Vedra Beach,FL,United States of America,False,https://www.theplayers.com,/tournaments/2025/the-players-championship/R2025011/leaderboard
