season,tour_code,tournament_id,tournament_name,display_date,month,status,champion_name,champion_player_id,champion_earnings,purse,standings_heading,standings_value,course_name,course_city,course_state_code,course_country,use_tournament_site_url,tournament_site_url,leaderboard_path_guess
2025,R,R2025475,Valspar Championship,Mar 20 - 23,March,COMPLETED,Viktor Hovland,46717,"$1,566,000","$8,700,000",FEDEXCUP,500 pts,Innisbrook Resort (Copperhead Course),Palm Harbor,FL,United States of America,False,https://valsparchampionship.com,/tournaments/2025/valspar-championship/R2025475/leaderboard
2025,R,R2025020,Texas Children's Houston Open,Mar 27 - 30,March,COMPLETED,Min Woo Lee,37378,"$1,710,000","$9,500,000",FEDEXCUP,500 pts,Memorial Park Golf Course,Houston,TX,United States of America,False,https://www.tchouopen.com/,/tournaments/2025/texas-childrens-houston-open/R2025020/leaderboard
2025,R,R2025041,Valero Texas Open,Apr 3 - 6,April,COMPLETED,Brian Harman,27644,"$1,710,000","$9,500,000",FEDEXCUP,500 pts,TPC San Antonio (Oaks Course),San Antonio,TX,United States of America,False,https://valerotexasopen.com,/tournaments/2025/valero-texas-open/R2025041/leaderboard
2025,R,R2025014,Masters Tournament,Apr 10 - 13,April,COMPLETED,Rory McIlroy,28237,"$4,200,000","$21,000,000",FEDEXCUP,750 pts,Augusta National Golf Club,Augusta,GA,United States of America,False,,/tournaments/2025/masters-tournament/R2025014/leaderboard
2025,R,R2025012,RBC Heritage,Apr 17 - 20,April,COMPLETED,Justin Thomas,33448,"$3,600,000","$20,000,000",FEDEXCUP,700 pts,Harbour Town Golf Links,Hilton Head Island,SC,United States of America,False,https://rbcheritage.com,/tournaments/2025/rbc-heritage/R2025012/leaderboard
2025,R,R2025522,Corales Puntacana Championship,Apr 17 - 20,April,COMPLETED,Garrick Higgo,54421,"$720,000","$4,000,000",FEDEXCUP,300 pts,Puntacana Resort & Club (Corales Golf Course),Punta Cana,,Dominican Republic,False,https://www.puntacana.com/en/golf/corales-championship,/tournaments/2025/corales-puntacana-championship/R2025522/leaderboard
2025,R,R2025018,Zurich Classic of New Orleans,Apr 24 - 27,April,COMPLETED,Andrew Novak,51997,"$1,329,400","$9,200,000",FEDEXCUP,400 pts,TPC Louisiana,Avondale,LA,United States of America,False,https://zurichgolfclassic.com,/tournaments/2025/zurich-classic-of-new-orleans/R2025018/leaderboard
2025,R,R2025019,THE CJ CUP Byron Nelson,May 1 - 4,May,COMPLETED,Scottie Scheffler,46046,"$1,782,000","$9,900,000",FEDEXCUP,500 pts,TPC Craig Ranch,McKinney,TX,United States of America,False,https://thecjcupbyronnelson.org/,/tournaments/2025/the-cj-cup-byron-nelson/R2025019/leaderboard
2025,R,R2025480,Truist Championship,May 8 - 11,May,COMPLETED,Sepp Straka,49960,"$3,600,000","$20,000,000",FEDEXCUP,700 pts,The Philadelphia Cricket Club (Wissahickon Course),Flourtown,PA,United States of America,False,https://truistchampionship.com/,/tournaments/2025/truist-championship/R2025480/leaderboard
2025,R,R2025553,ONEflight Myrtle Beach Classic,May 8 - 11,May,COMPLETED,Ryan Fox,29936,"$720,000","$4,000,000",FEDEXCUP,300 pts,Dunes Golf and Beach Club,Myrtle Beach,SC,United States of America,False,https://myrtlebeachclassic.com/,/tournaments/2025/oneflight-myrtle-beach-classic/R2025553/leaderboard
2025,R,R2025033,PGA Championship,May 15 - 18,May,COMPLETED,Scottie Scheffler,46046,"$3,420,000","$19,000,000",FEDEXCUP,750 pts,Quail Hollow Club,Charlotte,NC,United States of America,False,,/tournaments/2025/pga-championship/R2025033/leaderboard
2025,R,R2025021,Charles Schwab Challenge,May 22 - 25,May,COMPLETED,Ben Griffin,54591,"$1,710,000","$9,500,000",FEDEXCUP,500 pts,Colonial Country Club,Fort Worth,TX,United States of America,False,https://www.charlesschwabchallenge.com/,/tournaments/2025/charles-schwab-challenge/R2025021/leaderboard
2025,R,R2025023,the Memorial Tournament presented by Workday,May 29 - Jun 1,May,COMPLETED,Scottie Scheffler,46046,"$4,000,000","$20,000,000",FEDEXCUP,700 pts,Muirfield Village Golf Club,Dublin,OH,United States of America,False,https://www.thememorialtournament.com/,/tournaments/2025/the-memorial-tournament-presented-by-workday/R2025023/leaderboard
2025,R,R2025032,RBC Canadian Open,Jun 5 - 8,June,COMPLETED,Ryan Fox,29936,"$1,764,000","$9,800,000",FEDEXCUP,500 pts,TPC Toronto at Osprey Valley (North Course),"Caledon, Ontario",,Canada,False,https://www.rbccanadianopen.com/,/tournaments/2025/rbc-canadian-open/R2025032/leaderboard
2025,R,R2025026,U.S. Open,Jun 12 - 15,June,COMPLETED,J.J. Spaun,39324,"$4,300,000","$21,500,000",FEDEXCUP,750 pts,Oakmont Country Club,Oakmont,PA,United States of America,False,,/tournaments/2025/u-s-open/R2025026/leaderboard
2025,R,R2025034,Travelers Championship,Jun 19 - 22,June,COMPLETED,Keegan Bradley,33141,"$3,600,000","$20,000,000",FEDEXCUP,700 pts,TPC River Highlands,Cromwell,CT,United States of America,False,https://travelerschampionship.com/,/tournaments/2025/travelers-championship/R2025034/leaderboard
2025,R,R2025524,Rocket Classic,Jun 26 - 29,June,COMPLETED,Aldrich Potgieter,63343,"$1,728,000","$9,600,000",FEDEXCUP,500 pts,Detroit Golf Club,Detroit,MI,United States of America,False,http://www.rocketclassic.com/,/tournaments/2025/rocket-classic/R2025524/leaderboard
2025,R,R2025030,John Deere Classic,Jul 3 - 6,July,COMPLETED,Brian Campbell,46443,"$1,512,000","$8,400,000",FEDEXCUP,500 pts,TPC Deere Run,Silvis,IL,United States of America,False,https://johndeereclassic.com,/tournaments/2025/john-deere-classic/R2025030/leaderboard
2025,R,R2025541,Genesis Scottish Open,Jul 10 - 13,July,COMPLETED,Chris Gotterup,59095,"$1,575,000","$9,000,000",FEDEXCUP,500 pts,The Renaissance Club,North Berwick,,Scotland,False,https://www.europeantour.com/dpworld-tour/genesis-scottish-open-2025/,/tournaments/2025/genesis-scottish-open/R2025541/leaderboard
2025,R,R2025518,ISCO Championship,Jul 10 - 13,July,COMPLETED,William Mouw,63121,"$720,000","$4,000,000",FEDEXCUP,300 pts,Hurstbourne Country Club,Louisville,KY,United States of America,False,https://iscochampionship.com/,/tournaments/2025/isco-championship/R2025518/leaderboard
2025,R,R2025100,The Open Championship,Jul 17 - 20,July,COMPLETED,Scottie Scheffler,46046,"$3,100,000","$17,000,000",FEDEXCUP,750 pts,Royal Portrush Golf Club,Portrush,,Northern Ireland,False,,/tournaments/2025/the-open-championship/R2025100/leaderboard
2025,R,R2025472,Barracuda Championship,Jul 17 - 20,July,COMPLETED,Ryan Gerard,59018,"$720,000","$4,000,000",FEDEXCUP,300 pts,Tahoe Mountain Club (Old Greenwood),Truckee,CA,United States of America,False,https://barracudachampionship.com,/tournaments/2025/barracuda-championship/R2025472/leaderboard
2025,R,R2025525,3M Open,Jul 24 - 27,July,COMPLETED,Kurt Kitayama,48117,"$1,512,000","$8,400,000",FEDEXCUP,500 pts,TPC Twin Cities,Blaine,MN,United States of America,False,https://3mopen.com,/tournaments/2025/3m-open/R2025525/leaderboard
2025,R,R2025013,Wyndham Championship,Jul 31 - Aug 3,July,COMPLETED,Cameron Young,57366,"$1,476,000","$8,200,000",FEDEXCUP,500 pts,Sedgefield Country Club,Greensboro,NC,United States of America,False,https://www.wyndhamchampionship.com,/tournaments/2025/wyndham-championship/R2025013/leaderboard
2025,R,R2025027,FedEx St. Jude Championship,Aug 7 - 10,August,COMPLETED,Justin Rose,22405,"$3,600,000","$20,000,000",FEDEXCUP,"2,000 pts",TPC Southwind,Memphis,TN,United States of America,False,https://www.fedexchampionship.com/,/tournaments/2025/fedex-st-jude-championship/R2025027/leaderboard
2025,R,R2025028,BMW Championship,Aug 14 - 17,August,COMPLETED,Scottie Scheffler,46046,"$3,600,000","$20,000,000",FEDEXCUP,"2,000 pts",Caves Valley Golf Club,Owings Mills,MD,United States of America,False,https://bmwchampionship.com/,/tournaments/2025/bmw-championship/R2025028/leaderboard
2025,R,R2025060,TOUR Championship,Aug 21 - 24,August,COMPLETED,Tommy Fleetwood,30911,"$10,000,000","$40,000,000",,,East Lake Golf Club,Atlanta,GA,United States of America,False,https://www.tourchampionship.com/,/tournaments/2025/tour-championship/R2025060/leaderboard
2025,R,R2025464,Procore Championship,Sep 11 - 14,September,COMPLETED,Scottie Scheffler,46046,"$1,080,000","$6,000,000",FEDEXCUP FALL PTS,500 pts,Silverado Resort (North Course),Napa,CA,United States of America,True,,/tournaments/2025/procore-championship/R2025464/leaderboard
2025,R,R2025468,Ryder Cup,Sep 26 - 28,September,COMPLETED,Europe,,,$0,,,Bethpage State Park (Black),Farmingdale,NY,United States of America,False,,/tournaments/2025/ryder-cup/R2025468/leaderboard
2025,R,R2025054,Sanderson Farms Championship,Oct 2 - 5,October,COMPLETED,Steven Fisk,57123,"$1,080,000","$6,000,000",FEDEXCUP FALL PTS,500 pts,The Country Club of Jackson,Jackson,MS,United States of America,False,,/tournaments/2025/sanderson-farms-championship/R2025054/leaderboard
2025,R,R2025527,Baycurrent Classic,Oct 9 - 12,October,COMPLETED,Xander Schauffele,48081,"$1,440,000","$8,000,000",FEDEXCUP FALL PTS,500 pts,Yokohama Country Club (West Course),Yokohama,,Japan,False,https://baycurrentclassic.com/,/tournaments/2025/baycurrent-classic/R2025527/leaderboard
2025,R,R2025554,Bank of Utah Championship,Oct 23 - 26,October,COMPLETED,Michael Brennan,61522,"$1,080,000","$6,000,000",FEDEXCUP FALL PTS,500 pts,Black Desert Resort,Ivins,UT,United States of America,False,,/tournaments/2025/bank-of-utah-championship/R2025554/leaderboard
2025,R,R2025457,World Wide Technology Championship,Nov 6 - 9,November,COMPLETED,Ben Griffin,54591,"$1,080,000","$6,000,000",FEDEXCUP FALL PTS,500 pts,El Cardonal at Diamante,Los Cabos,,Mexico,False,,/tournaments/2025/world-wide-technology-championship/R2025457/leaderboard
2025,R,R2025528,Butterfield Bermuda Championship,Nov 13 - 16,November,COMPLETED,Adam Schenk,47347,"$1,080,000","$6,000,000",FEDEXCUP FALL PTS,500 pts,Port Royal Golf Course,Southampton,,Bermuda,False,,/tournaments/2025/butterfield-bermuda-championship/R2025528/leaderboard
2025,R,R2025493,The RSM Classic,Nov 20 - 23,November,COMPLETED,Sami Valimaki,52666,"$1,260,000","$7,000,000",FEDEXCUP FALL PTS,500 pts,Sea Island Golf Club (Seaside Course),St. Simons Island,GA,United States of America,False,,/tournaments/2025/the-rsm-classic/R2025493/leaderboard
2025,R,R2025478,Hero World Challenge,Dec 4 - 7,December,COMPLETED,Hideki Matsuyama,32839,"$1,000,000","$5,000,000",,,Albany GC,Albany,,,False,,/tournaments/2025/hero-world-challenge/R2025478/leaderboard
2025,R,R2025088,PGA TOUR Q-School presented by Korn Ferry,Dec 11 - 14,December,COMPLETED,A.J. Ewart,50286,"$50,000","$510,000",,,Dye's Valley Course,Ponte Vedra Beach,FL,United States of America,False,,/tournaments/2025/pga-tour-q-school-presented-by-korn-ferry/R2025088/leaderboard
2025,R,R2025551,Grant Thornton Invitational,Dec 12 - 14,December,COMPLETED,Andrew Novak,51997,"$500,000","$4,000,000",,,Tiburón Golf Club,Naples,FL,United States of America,False,https://grantthorntoninvitational.com/,/tournaments/2025/grant-thornton-invitational/R2025551/leaderboard
