date,action,ticker,price,confidence,size,slippage_pct,entry_price,return_pct,exit_reason
2024-11-14,SELL,QXO,15.23,85.33,,0.1,15.42,-1.331,horizon
2024-11-14,SELL,CONL,49.33,84.53,,0.1,31.32,57.346,horizon
2024-11-14,SELL,SMR,24.66,83.05,,0.1,18.02,36.711,horizon
2024-11-14,SELL,BTDR,10.74,82.61,,0.1,8.07,32.952,horizon
2024-11-14,SELL,ADMA,20.2,81.93,,0.1,16.12,25.185,horizon
2024-11-14,SELL,UVIX,34.0,81.53,,0.1,51.5,-34.047,horizon
2024-11-14,SELL,SOXL,29.3239,80.37,,0.1,34.8816,-16.017,horizon
2024-11-14,SELL,LUNR,10.23,80.18,,0.1,8.35,22.392,horizon
2024-11-14,BUY,ASTS,26.8,87.25,706.48,0.1,,,
2024-11-14,BUY,CONL,49.33,83.6,706.48,0.1,,,
2024-11-14,BUY,UVIX,34.0,82.72,706.48,0.1,,,
2024-11-14,BUY,RKLB,17.36,82.23,706.48,0.1,,,
2024-11-14,BUY,SMR,24.66,82.23,706.48,0.1,,,
2024-11-14,BUY,AAOI,28.15,82.13,706.48,0.1,,,
2024-11-14,BUY,APLD,6.86,82.07,706.48,0.1,,,
2024-11-14,BUY,TSLL,16.3425,81.58,706.48,0.1,,,
2024-11-14,BUY,ADMA,20.2,80.9,706.48,0.1,,,
2024-11-14,BUY,LUNR,10.23,80.62,706.48,0.1,,,
2024-12-13,SELL,ASTS,23.48,87.25,,0.1,26.8,-12.476,horizon
2024-12-13,SELL,CONL,57.06,83.6,,0.1,49.33,15.554,horizon
2024-12-13,SELL,UVIX,31.4,82.72,,0.1,34.0,-7.739,horizon
2024-12-13,SELL,RKLB,24.42,82.23,,0.1,17.36,40.528,horizon
2024-12-13,SELL,SMR,21.13,82.23,,0.1,24.66,-14.4,horizon
2024-12-13,SELL,AAOI,36.43,82.13,,0.1,28.15,29.284,horizon
2024-12-13,SELL,APLD,8.9,82.07,,0.1,6.86,29.608,horizon
2024-12-13,SELL,TSLL,31.1772,81.58,,0.1,16.3425,90.582,horizon
2024-12-13,SELL,ADMA,18.59,80.9,,0.1,20.2,-8.062,horizon
2024-12-13,SELL,LUNR,11.685,80.62,,0.1,10.23,14.109,horizon
2024-12-13,BUY,TSLL,31.1772,87.01,768.65,0.1,,,
2024-12-13,BUY,RKLB,24.42,86.78,768.65,0.1,,,
2024-12-13,BUY,AAOI,36.43,85.94,768.65,0.1,,,
2024-12-13,BUY,APP,324.47,83.6,768.65,0.1,,,
2024-12-13,BUY,BTDR,20.92,83.45,768.65,0.1,,,
2024-12-13,BUY,LUNR,11.685,82.31,768.65,0.1,,,
2024-12-13,BUY,ACHR,8.39,82.05,768.65,0.1,,,
2024-12-13,BUY,ASTS,23.48,81.39,768.65,0.1,,,
2024-12-13,BUY,MSTR,408.67,81.33,768.65,0.1,,,
2024-12-13,BUY,SMR,21.13,80.84,768.65,0.1,,,
2025-01-15,SELL,TSLL,28.4412,87.01,,0.1,31.1772,-8.867,horizon
2025-01-15,SELL,RKLB,24.87,86.78,,0.1,24.42,1.741,horizon
2025-01-15,SELL,AAOI,31.18,85.94,,0.1,36.43,-14.497,horizon
2025-01-15,SELL,APP,335.03,83.6,,0.1,324.47,3.151,horizon
2025-01-15,SELL,BTDR,20.84,83.45,,0.1,20.92,-0.482,horizon
2025-01-15,SELL,LUNR,19.18,82.31,,0.1,11.685,63.978,horizon
2025-01-15,SELL,ACHR,8.79,82.05,,0.1,8.39,4.663,horizon
2025-01-15,SELL,ASTS,21.54,81.39,,0.1,23.48,-8.354,horizon
2025-01-15,SELL,MSTR,360.62,81.33,,0.1,408.67,-11.846,horizon
2025-01-15,SELL,SMR,20.82,80.84,,0.1,21.13,-1.566,horizon
2025-01-15,BUY,RKLB,24.87,86.96,779.0,0.1,,,
2025-01-15,BUY,AAOI,31.18,86.6,779.0,0.1,,,
2025-01-15,BUY,LUNR,19.18,85.76,779.0,0.1,,,
2025-01-15,BUY,EOSE,5.2,85.54,779.0,0.1,,,
2025-01-15,BUY,TSLL,28.4412,85.05,779.0,0.1,,,
2025-01-15,BUY,APP,335.03,84.51,779.0,0.1,,,
2025-01-15,BUY,ACHR,8.79,84.0,779.0,0.1,,,
2025-01-15,BUY,BTDR,20.84,82.53,779.0,0.1,,,
2025-01-15,BUY,SMR,20.82,82.05,779.0,0.1,,,
2025-01-15,BUY,CONL,42.0,80.95,779.0,0.1,,,
2025-02-13,SELL,RKLB,28.3,86.96,,0.1,24.87,13.678,horizon
2025-02-13,SELL,AAOI,27.04,86.6,,0.1,31.18,-13.364,horizon
2025-02-13,SELL,LUNR,19.16,85.76,,0.1,19.18,-0.204,horizon
2025-02-13,SELL,EOSE,5.23,85.54,,0.1,5.2,0.476,horizon
2025-02-13,SELL,TSLL,19.0768,85.05,,0.1,28.4412,-32.992,horizon
2025-02-13,SELL,APP,471.67,84.51,,0.1,335.03,40.644,horizon
2025-02-13,SELL,ACHR,9.52,84.0,,0.1,8.79,8.197,horizon
2025-02-13,SELL,BTDR,16.58,82.53,,0.1,20.84,-20.521,horizon
2025-02-13,SELL,SMR,24.71,82.05,,0.1,20.82,18.565,horizon
2025-02-13,SELL,CONL,47.48,80.95,,0.1,42.0,12.935,horizon
2025-02-13,BUY,BBAI,9.78,88.9,789.28,0.1,,,
2025-02-13,BUY,RKLB,28.3,86.72,789.28,0.1,,,
2025-02-13,BUY,AAOI,27.04,86.57,789.28,0.1,,,
2025-02-13,BUY,LUNR,19.16,85.86,789.28,0.1,,,
2025-02-13,BUY,TSLL,19.0768,85.56,789.28,0.1,,,
2025-02-13,BUY,ACHR,9.52,84.59,789.28,0.1,,,
2025-02-13,BUY,EOSE,5.23,83.25,789.28,0.1,,,
2025-02-13,BUY,BTDR,16.58,83.23,789.28,0.1,,,
2025-02-13,BUY,MSTR,324.92,82.33,789.28,0.1,,,
2025-02-13,BUY,SMR,24.71,82.12,789.28,0.1,,,
2025-03-14,SELL,BBAI,3.53,88.9,,0.1,9.78,-63.942,horizon
2025-03-14,SELL,RKLB,18.81,86.72,,0.1,28.3,-33.6,horizon
2025-03-14,SELL,AAOI,22.11,86.57,,0.1,27.04,-18.314,horizon
2025-03-14,SELL,LUNR,7.31,85.86,,0.1,19.16,-61.886,horizon
2025-03-14,SELL,TSLL,8.6773,85.56,,0.1,19.0768,-54.56,horizon
2025-03-14,SELL,ACHR,7.9,84.59,,0.1,9.52,-17.1,horizon
2025-03-14,SELL,EOSE,4.13,83.25,,0.1,5.23,-21.111,horizon
2025-03-14,SELL,BTDR,10.35,83.23,,0.1,16.58,-37.638,horizon
2025-03-14,SELL,MSTR,297.49,82.33,,0.1,324.92,-8.534,horizon
2025-03-14,SELL,SMR,17.51,82.12,,0.1,24.71,-29.209,horizon
2025-03-14,BUY,LUNR,7.31,86.47,652.38,0.1,,,
2025-03-14,BUY,APP,292.89,86.23,652.38,0.1,,,
2025-03-14,BUY,TSLL,8.6773,86.05,652.38,0.1,,,
2025-03-14,BUY,BTDR,10.35,85.95,652.38,0.1,,,
2025-03-14,BUY,RKLB,18.81,84.83,652.38,0.1,,,
2025-03-14,BUY,CONL,16.07,84.51,652.38,0.1,,,
2025-03-14,BUY,AAOI,22.11,83.51,652.38,0.1,,,
2025-03-14,BUY,ACHR,7.9,83.5,652.38,0.1,,,
2025-03-14,BUY,SMR,17.51,82.1,652.38,0.1,,,
2025-03-14,BUY,AAL,10.87,81.58,652.38,0.1,,,
