date,action,ticker,price,confidence,size,slippage_pct,entry_price,return_pct,exit_reason
2024-07-11,BUY,TSLL,12.2098,65.01,538.82,0.1,,,
2024-07-15,SELL,MSTR,161.128,62.22,,0.1,129.058,24.724,horizon
2024-07-16,BUY,MU,126.7127,60.18,547.52,0.1,,,
2024-07-18,SELL,TSLL,13.0029,65.01,,0.1,12.2098,6.389,horizon
2024-07-18,BUY,TSLL,13.0029,61.06,543.56,0.1,,,
2024-07-18,BUY,CEG,185.3508,60.67,543.56,0.1,,,
2024-07-19,BUY,META,474.0497,61.38,540.91,0.1,,,
2024-07-19,BUY,CIFR,6.19,60.15,540.91,0.1,,,
2024-07-23,SELL,MU,113.5534,60.18,,0.1,126.7127,-10.475,horizon
2024-07-23,BUY,MU,113.5534,62.4,542.76,0.1,,,
2024-07-24,BUY,SMH,239.1724,62.78,529.72,0.1,,,
2024-07-24,BUY,QCOM,174.1599,62.22,529.72,0.1,,,
2024-07-24,BUY,AVGO,148.7814,61.4,529.72,0.1,,,
2024-07-24,BUY,SOXL,42.4247,60.87,529.72,0.1,,,
2024-07-24,BUY,AMAT,203.3595,60.32,466.62,0.1,,,
2024-07-25,SELL,TSLL,9.8859,61.06,,0.1,13.0029,-24.048,horizon
2024-07-25,SELL,CEG,168.6744,60.67,,0.1,185.3508,-9.088,horizon
2024-07-25,BUY,CEG,168.6744,63.43,523.58,0.1,,,
2024-07-25,BUY,AMD,138.32,62.21,502.15,0.1,,,
2024-07-26,SELL,META,463.0234,61.38,,0.1,474.0497,-2.424,horizon
2024-07-26,SELL,CIFR,5.82,60.15,,0.1,6.19,-6.071,horizon
2024-07-26,BUY,META,463.0234,64.95,530.3,0.1,,,
2024-07-26,BUY,CIFR,5.82,61.99,530.3,0.1,,,
2024-07-30,SELL,MU,101.9347,62.4,,0.1,113.5534,-10.322,horizon
2024-07-30,BUY,MU,101.9347,63.4,491.77,0.1,,,
2024-07-31,SELL,SMH,245.1374,62.78,,0.1,239.1724,2.391,horizon
2024-07-31,SELL,QCOM,174.0445,62.22,,0.1,174.1599,-0.166,horizon
2024-07-31,SELL,AVGO,157.9635,61.4,,0.1,148.7814,6.065,horizon
2024-07-31,SELL,SOXL,43.8982,60.87,,0.1,42.4247,3.37,horizon
2024-07-31,SELL,AMAT,208.9425,60.32,,0.1,203.3595,2.643,horizon
2024-07-31,BUY,LLY,794.5574,62.95,535.72,0.1,,,
2024-07-31,BUY,SMH,245.1374,62.91,535.72,0.1,,,
2024-07-31,BUY,QCOM,174.0445,61.82,535.72,0.1,,,
2024-07-31,BUY,APP,77.1,60.77,535.72,0.1,,,
2024-07-31,BUY,AVGO,157.9635,60.67,535.72,0.1,,,
2024-08-01,SELL,CEG,175.7409,63.43,,0.1,168.6744,4.085,horizon
2024-08-01,SELL,AMD,132.54,62.21,,0.1,138.32,-4.275,horizon
2024-08-01,BUY,INTC,28.8669,63.09,522.7,0.1,,,
2024-08-01,BUY,AMD,132.54,62.65,473.31,0.1,,,
2024-08-02,SELL,META,485.3344,64.95,,0.1,463.0234,4.714,horizon
2024-08-02,SELL,CIFR,4.33,61.99,,0.1,5.82,-25.676,horizon
2024-08-02,BUY,SOXL,29.0149,63.13,505.11,0.1,,,
